  CBCL  [ui32]  0 (bytes 00 00 00 00)
  CBSC  [ui32]  0 (bytes 00 00 00 00)
  CBSV  [ui32]  0 (bytes 00 00 00 00)
  CBTC  [ui8 ]  0 (bytes 00)
  CH0D  [hex_]  234881024 (bytes 0e 00 00 00)
  CH0E  [hex_]  0 (bytes 00 00 00 00 00 00 00 00)
  CH0H  [ui64]  (bytes 00 00 00 00 00 00 00 00)
  CH0R  [hex_]  0 (bytes 00 00 00 00)
  CH0V  [ui32]  4231069696 (bytes fc 31 00 00)
  CHA1  [ui32]  2685206528 (bytes a0 0d 00 00)
  CHA2  [ui32]  0 (bytes 00 00 00 00)
  CHAI  [ui32]  0 (bytes 00 00 00 00)
  CHAS  [ui32]  0 (bytes 00 00 00 00)
  CHBI  [ui32]  0 (bytes 00 00 00 00)
  CHBV  [ui32]  1594949632 (bytes 5f 11 00 00)
  CHCC  [ui8 ]  0 (bytes 00)
  CHCE  [ui8 ]  0 (bytes 00)
  CHCF  [hex_]  0 (bytes 00)
  CHCR  [ui8 ]  0 (bytes 00)
  CHDB  [hex_]  0 (bytes 00 00)
  CHFS  [ui32]  16777216 (bytes 01 00 00 00)
  CHHC  [ui16]  0 (bytes 00 00)
  CHI1  [ui32]  0 (bytes 00 00 00 00)
  CHI2  [ui32]  0 (bytes 00 00 00 00)
  CHIB  [ui8 ]  0 (bytes 00)
  CHIC  [ui8 ]  0 (bytes 00)
  CHIE  [hex_]  0 (bytes 00)
  CHIF  [ui32]  0 (bytes 00 00 00 00)
  CHIL  [flag]  false (bytes 00)
  CHIM  [ui32]  2282946560 (bytes 88 13 00 00)
  CHIO  [flag]  false (bytes 00)
  CHIS  [ui32]  0 (bytes 00 00 00 00)
  CHLT  [hex_]  0 (bytes 00 00 00)
  CHM2  [hex_]  0 (bytes 00 00 00 00 00 00 00 00 00 00 00 00)
  CHNC  [hex_]  2164277248 (bytes 81 00 40 00 00 00 00 00)
  CHNI  [si32]  -1828716544 (bytes 93 00 00 00)
  CHOC  [ui32]  0 (bytes 00 00 00 00)
  CHPS  [ui32]  0 (bytes 00 00 00 00)
  CHRT  [ui8 ]  0 (bytes 00)
  CHSC  [ui8 ]  0 (bytes 00)
  CHSE  [ui8 ]  0 (bytes 00)
  CHST  [ui8 ]  0 (bytes 00)
  CHSW  [hex_]  0 (bytes 00 00 00 00 00 00 00 00)
  CHTC  [ui32]  0 (bytes 00 00 00 00)
  CHTE  [ui32]  0 (bytes 00 00 00 00)
  CHTL  [ui32]  269352960 (bytes 10 0e 00 00)
  CHTM  [ui32]  0 (bytes 00 00 00 00)
  CHTU  [ui32]  68157440 (bytes 04 10 00 00)
  CLBT  [ui64]  (bytes c1 c9 b1 2c 07 0a 00 00)
